项目管理中心策划设计业务收入台账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同基本信息,,,,,,,,,,,,,各部门合同额,,,,,,,,,,,,,,,收款条件,,,,节点执行情况,,,,,,,,,,,业务部门履约进展,,,累计,,,,,,各部门收入分配,,,,,,,,,,,,,,各部门回款分配,,,,,,,,,,,,,,法律合规,,,,开始时间,45323.00 ,,,,,,,,,
序号,区域,签订日期,项目名称,项目编号, ,合同编号,类型,甲方合同编号,"甲方单位
名称",总建面,单价描述,合同总金额,客研,创作中心,创作一室,创作二室,创作三室,工程中心,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,D e si g n R,项目管理,外委归属部门,次序,合同付款节点,比例,合同节点金额,收入金额,形式,收入日期,产值确认金额,产值确认日期,实际开票金额,开票日期,回款金额,回款时间,应收账款,备注,设计进度,"商务
沟通情况",成果确认单确认日期,累计收入,累计开票金额,累计回款金额,剩余收入,已确认收入未开票,已开票未回款,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,形成方式,合同审批方式,,,结束时间,45351.00 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,工程竣工备案后，甲方支付工程全额设计优化咨询费20%给乙方。,0.20 ,130000.00 ,130000.00 ,产值确认单,,130000.00 ,43770.00 ,112304.30 ,44481.00 ,112304.30 ,45625.00 ,0.00 ,甲方回复暂未竣工备案，超节点开票,,,,,,,,,,,,,,,,,130000.00 ,,,,,,,,,,,,,,112304.30 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,/,/,-17695.70 ,产值确认单,44479.00 ,-17695.70 ,44479.00 ,,,,,,"按照规证面积结算,2021年签-17695.7元产值",,,,,,,,,,,,,,,,,-17695.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,北方,43566.00 ,天津国印文苑项目（完成）,无,国印文苑项目建筑设计咨询服务合同,CRCCRE-SJ-ZX-2019-001,咨询,,天津弘创置业有限公司,157693.00 ,施工图咨询：5元/平米,788465.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,788465.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,,1.00 ,1)合同签订后，甲方在提交全部设计资料给乙方后，二十个工作日内支付工程全额设计优化咨询费的20%给乙方。,0.20 ,157693.00 ,157693.00 ,产值确认单,43674.00 ,157693.00 ,43674.00 ,157693.00 ,43705.00 ,157693.00 ,43770.00 ,0.00 ,,完成,,,788465.00 ,788465.00 ,788465.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,157693.00 ,,,,,,,,,,,,,,157693.00 ,,,,,,,直委,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,2)乙方完成施工图阶段的设计咨询工作并经甲方认可，二十个工作日内甲方支付工程全额设计优化咨询费80%给乙方。,0.80 ,630772.00 ,630772.00 ,产值确认单,43674.00 ,630772.00 ,43674.00 ,630772.00 ,43929.00 ,630772.00 ,44551.00 ,0.00 ,3个月银信,,,,,,,,,,,,,,,,,630772.00 ,,,,,,,,,,,,,,630772.00 ,,,,,,,,,,,,,,,,,,,,,
5,北方,43817.00 ,济南曹家馆项目（完成）,无,曹家馆项目工程设计顾问咨询服务合同,CRCCRE-SJ-ZX-2019-016,咨询,,中铁房地产集团济南置业有限公司,214465.00 ,全过程咨询：7元/平米，方案：3元/平米,1076114.00 ,0.00 ,0.00 ,443114.00 ,0.00 ,0.00 ,0.00 ,0.00 ,583000.00 ,50000.00 ,0.00 ,0.00 ,,,0.00 ,0.00 ,1.00 ,"合同签订20个工作日内请款, 下月30日前支付
乙方提交优化方案后，下月30日前支付",0.40 ,430445.60 ,450445.60 ,产值确认单,43817.00 ,430445.60 ,43817.00 ,430445.60 ,43929.00 ,450445.60 ,44020.00 ,0.00 ,,完成,,,1080154.80 ,1080154.80 ,1080154.80 ,-4040.80 ,0.00 ,0.00 ,,,169645.60 ,,,,,230800.00 ,50000.00 ,,,,,,,,169645.60 ,,,,,230800.00 ,50000.00 ,,,,,,投标,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,乙方完成方案阶段的设计咨询工作并经甲方书面认可后，下月30日前支付,0.20 ,215222.80 ,205222.80 ,产值确认单,43817.00 ,215222.80 ,43817.00 ,215222.80 ,43929.00 ,205222.80 ,44020.00 ,0.00 ,,,,,,,,,,,,,88622.80 ,,,,,116600.00 ,,,,,,,,,88622.80 ,,,,,116600.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,乙方完成方案阶段的设计咨询工作并经甲方书面认可后，下月30日前支付,0.20 ,215222.80 ,205222.80 ,产值确认单,43817.00 ,215222.80 ,43817.00 ,215222.80 ,43929.00 ,205222.80 ,44020.00 ,0.00 ,,,,,,,,,,,,,88622.80 ,,,,,116600.00 ,,,,,,,,,88622.80 ,,,,,116600.00 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,乙方完成施工图阶段的设计咨询工作并经甲方书面认可后，下月30日前支付,0.20 ,215222.80 ,219263.60 ,产值确认单,44118.00 ,219263.60 ,44118.00 ,219263.60 ,44123.00 ,219263.60 ,44217.00 ,0.00 ,,,,,,,,,,,,,96222.80 ,,,,,123040.80 ,,,,,,,,,96222.80 ,,,,,123040.80 ,,,,,,,,,,,,,,,,,,,,,
6,北方,43809.00 ,"房山文娱项目
（完成）",无,房山区长阳镇长阳起步区6号地文化娱乐用地项目BIM技术咨询服务合同,CRCCRE-SJ-BIM-2019-007,BIM,,中铁房地产集团北方有限公司,29423.20 ,BIM：12元/平米,353078.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,353078.40 ,0.00 ,0.00 ,,,0.00 ,,1.00 ,合同签订后，30个工作日内，支付合同额的20%,0.20 ,70615.68 ,70615.68 ,产值确认单,43808.00 ,/,/,70615.68 ,43839.00 ,70615.68 ,44074.00 ,0.00 ,,,,,353078.40 ,353078.40 ,353078.40 ,0.00 ,0.00 ,0.00 ,,,,,,,,,70615.68 ,,,,,,,,,,,,,,70615.68 ,,,,,,询价,OA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,乙方提交第一版BIM模型后，经甲方书面确认后，30个工作日内，支付合同额的40%,0.40 ,141231.36 ,141231.36 ,产值确认单,43808.00 ,/,/,141231.36 ,43839.00 ,141231.36 ,44074.00 ,0.00 ,,,,,,,,,,,,,,,,,,,141231.36 ,,,,,,,,,,,,,,141231.36 ,,,,,,,,,,,,,,,,,,,,
